"subject" "activity" "tbodyacc-mean-x" "tbodyacc-mean-y" "tbodyacc-mean-z" "tbodyacc-std-x" "tbodyacc-std-y" "tbodyacc-std-z" "tgravityacc-mean-x" "tgravityacc-mean-y" "tgravityacc-mean-z" "tgravityacc-std-x" "tgravityacc-std-y" "tgravityacc-std-z" "tbodyaccjerk-mean-x" "tbodyaccjerk-mean-y" "tbodyaccjerk-mean-z" "tbodyaccjerk-std-x" "tbodyaccjerk-std-y" "tbodyaccjerk-std-z" "tbodygyro-mean-x" "tbodygyro-mean-y" "tbodygyro-mean-z" "tbodygyro-std-x" "tbodygyro-std-y" "tbodygyro-std-z" "tbodygyrojerk-mean-x" "tbodygyrojerk-mean-y" "tbodygyrojerk-mean-z" "tbodygyrojerk-std-x" "tbodygyrojerk-std-y" "tbodygyrojerk-std-z" "tbodyaccmag-mean" "tbodyaccmag-std" "tgravityaccmag-mean" "tgravityaccmag-std" "tbodyaccjerkmag-mean" "tbodyaccjerkmag-std" "tbodygyromag-mean" "tbodygyromag-std" "tbodygyrojerkmag-mean" "tbodygyrojerkmag-std" "fbodyacc-mean-x" "fbodyacc-mean-y" "fbodyacc-mean-z" "fbodyacc-std-x" "fbodyacc-std-y" "fbodyacc-std-z" "fbodyaccjerk-mean-x" "fbodyaccjerk-mean-y" "fbodyaccjerk-mean-z" "fbodyaccjerk-std-x" "fbodyaccjerk-std-y" "fbodyaccjerk-std-z" "fbodygyro-mean-x" "fbodygyro-mean-y" "fbodygyro-mean-z" "fbodygyro-std-x" "fbodygyro-std-y" "fbodygyro-std-z" "fbodyaccmag-mean" "fbodyaccmag-std" "fbodybodyaccjerkmag-mean" "fbodybodyaccjerkmag-std" "fbodybodygyromag-mean" "fbodybodygyromag-std" "fbodybodygyrojerkmag-mean" "fbodybodygyrojerkmag-std"
"1" 2 "standing" 0.25717778 -0.02328523 -0.014653762 -0.938404 -0.92009078 -0.66768331 0.93648925 -0.28271916 0.11528825 -0.92542727 -0.93701413 -0.56428842 0.072046007 0.045754401 -0.10604266 -0.90668276 -0.93801639 -0.93593583 0.11997616 -0.091792335 0.18962854 -0.88308911 -0.8161636 -0.94088123 -0.20489621 -0.17448771 -0.09338934 -0.90122415 -0.91086005 -0.93925042 -0.86692938 -0.70519112 -0.86692938 -0.70519112 -0.92976655 -0.89599425 -0.79554393 -0.76207322 -0.92519489 -0.89434361 -0.91850969 -0.91821319 -0.78909145 -0.94829035 -0.92513687 -0.63631674 -0.89963316 -0.937485 -0.9235514 -0.92442913 -0.94321038 -0.94789152 -0.82355788 -0.80791598 -0.91791256 -0.90326274 -0.822677 -0.95616508 -0.79094643 -0.711074 -0.89506118 -0.89635958 -0.77061 -0.79711285 -0.89016545 -0.90730756
"2" 2 "standing" 0.28602671 -0.013163359 -0.11908252 -0.97541469 -0.9674579 -0.94495817 0.92740359 -0.28921515 0.15256831 -0.98905711 -0.9838872 -0.96478113 0.070180689 -0.017876016 -0.0017206291 -0.94920395 -0.97269891 -0.9777267 -0.0015524629 -0.18729119 0.18070522 -0.92556647 -0.9295992 -0.96758097 -0.13866849 -0.025802071 -0.071418405 -0.96230415 -0.95628941 -0.98134077 -0.96896136 -0.95390243 -0.96896136 -0.95390243 -0.97371675 -0.94100781 -0.89843314 -0.91085833 -0.97339341 -0.94409 -0.96090303 -0.96443332 -0.95667485 -0.98434996 -0.97017476 -0.94186191 -0.94351902 -0.96916232 -0.97344886 -0.9616312 -0.98002631 -0.9807873 -0.92251305 -0.92649565 -0.96822947 -0.92705058 -0.93201069 -0.97014338 -0.95412665 -0.95974581 -0.94543723 -0.934152 -0.92446082 -0.91677415 -0.95197735 -0.93821243
"3" 2 "standing" 0.27548482 -0.02605042 -0.11815167 -0.99381904 -0.96992551 -0.96274798 0.92991503 -0.28751284 0.14608559 -0.9959365 -0.98825055 -0.98157964 0.069367784 -0.0049081456 -0.013672983 -0.9910699 -0.97140413 -0.97286744 -0.048212671 -0.16627974 0.15417437 -0.97298823 -0.97851062 -0.97564834 -0.097809669 -0.034213274 -0.060028399 -0.98416694 -0.98793987 -0.97618761 -0.97622817 -0.97908345 -0.97622817 -0.97908345 -0.98161775 -0.97137104 -0.93919355 -0.97177627 -0.98674805 -0.98440146 -0.99190627 -0.96503362 -0.96689961 -0.99475367 -0.97369585 -0.96228657 -0.99102948 -0.97336887 -0.97170298 -0.99191217 -0.97098573 -0.97232221 -0.9728456 -0.98083326 -0.97206022 -0.97319788 -0.97719446 -0.97909527 -0.97564966 -0.98378426 -0.97106896 -0.97030784 -0.97520949 -0.97399836 -0.98568879 -0.98327268
"4" 2 "standing" 0.27029822 -0.032613869 -0.11752018 -0.99474279 -0.97326761 -0.96709068 0.92888137 -0.29339576 0.14292592 -0.99313918 -0.97041923 -0.99159167 0.074852891 0.032274322 0.012141275 -0.99080161 -0.97289567 -0.97592527 -0.056641577 -0.12601846 0.11833718 -0.96779046 -0.9751338 -0.9632327 -0.10223178 -0.044713461 -0.053436499 -0.98417089 -0.98955423 -0.98072396 -0.9743245 -0.97701589 -0.9743245 -0.97701589 -0.98271214 -0.97480746 -0.94718438 -0.97036824 -0.98882036 -0.9855681 -0.99302982 -0.9682839 -0.96691156 -0.99559355 -0.97691756 -0.96895787 -0.99053617 -0.97245255 -0.97033741 -0.99195996 -0.97543408 -0.98062113 -0.97150165 -0.98134496 -0.96670552 -0.96718562 -0.97190942 -0.96527548 -0.97339313 -0.98211956 -0.97165451 -0.97848438 -0.97629733 -0.97124817 -0.98556187 -0.98584291
"5" 2 "standing" 0.27483295 -0.027847788 -0.12952716 -0.99385248 -0.96744548 -0.97829499 0.92659966 -0.30296094 0.13830674 -0.99557462 -0.97096035 -0.96808532 0.078376795 0.022276764 0.0027484994 -0.99207239 -0.97867004 -0.98661202 -0.059992128 -0.08472343 0.078659262 -0.97465605 -0.97795105 -0.96762872 -0.091849944 -0.029005022 -0.061235354 -0.98847382 -0.99187728 -0.9819836 -0.97583556 -0.97689339 -0.97583556 -0.97689339 -0.98690794 -0.98885394 -0.95741922 -0.96949953 -0.99006205 -0.99041891 -0.99240425 -0.96920715 -0.97965265 -0.99450372 -0.96746811 -0.97823994 -0.99148001 -0.97983461 -0.98349302 -0.99357091 -0.97869657 -0.98850332 -0.97640453 -0.98040426 -0.96878202 -0.97439786 -0.9765654 -0.97001655 -0.97773896 -0.9788381 -0.98748876 -0.98971596 -0.97700701 -0.96961934 -0.99049804 -0.99057193
"6" 2 "standing" 0.27921995 -0.018620399 -0.11390197 -0.99445523 -0.97041688 -0.96531629 0.92566317 -0.30893973 0.1305608 -0.99884225 -0.99073872 -0.97123186 0.075980393 0.017519217 0.0082080614 -0.99383436 -0.97910289 -0.98760636 -0.039697949 -0.066828493 0.070547316 -0.97987841 -0.97646279 -0.96346168 -0.092739553 -0.032138215 -0.072575489 -0.98941668 -0.98949396 -0.97777944 -0.98171632 -0.97770393 -0.98171632 -0.97770393 -0.98733569 -0.99199699 -0.96974417 -0.97329472 -0.9878482 -0.98904283 -0.99384268 -0.97072928 -0.97557712 -0.99464709 -0.97101596 -0.96144375 -0.99377593 -0.97898448 -0.98609861 -0.99445136 -0.98075853 -0.98755691 -0.97970341 -0.98052611 -0.96020643 -0.98001461 -0.97424691 -0.96781629 -0.9780025 -0.97987556 -0.99129465 -0.99174398 -0.97703453 -0.97505133 -0.98873265 -0.98980498
"7" 2 "standing" 0.27974586 -0.018271026 -0.10399988 -0.99581919 -0.97635361 -0.97772468 0.92613663 -0.30956386 0.12856658 -0.9974362 -0.99656801 -0.98820362 0.074134632 -0.0003745209 -0.0073042715 -0.99422833 -0.98407463 -0.98777624 -0.03287449 -0.065186851 0.080700108 -0.98963172 -0.9838623 -0.97276516 -0.097085158 -0.045577053 -0.05067998 -0.99029738 -0.99241296 -0.98408092 -0.987652 -0.98527343 -0.987652 -0.98527343 -0.98932893 -0.99233376 -0.98233263 -0.98001093 -0.99111713 -0.99178348 -0.99537972 -0.97555993 -0.98107144 -0.99594218 -0.97718677 -0.97650662 -0.99483891 -0.98425968 -0.98671314 -0.99398294 -0.98495936 -0.9872289 -0.9868077 -0.98654614 -0.97459428 -0.99046595 -0.98233966 -0.97445871 -0.98419804 -0.98728087 -0.99085558 -0.99362737 -0.98385918 -0.98058137 -0.99174622 -0.99199079
"8" 2 "standing" 0.27460055 -0.02503513 -0.11683085 -0.99559442 -0.98206892 -0.98526237 0.92658621 -0.3107735 0.12958012 -0.99739076 -0.98755709 -0.98979864 0.076194451 -0.0037109707 0.005193806 -0.9947049 -0.98932695 -0.99154634 -0.028869854 -0.068346001 0.087116675 -0.99434551 -0.99243952 -0.98984746 -0.095570872 -0.045698485 -0.043546352 -0.99173311 -0.99664469 -0.99363268 -0.98693665 -0.99075599 -0.98693665 -0.99075599 -0.99314688 -0.99407416 -0.99274936 -0.99178744 -0.99557708 -0.99592397 -0.99517743 -0.98208507 -0.98707442 -0.99570067 -0.98207814 -0.9843464 -0.99441341 -0.98931394 -0.98945989 -0.99555608 -0.99009955 -0.99229145 -0.99201423 -0.99322434 -0.98579928 -0.99507937 -0.99190954 -0.99252828 -0.99134903 -0.9907674 -0.99398366 -0.99279257 -0.99093371 -0.99388069 -0.99578803 -0.99599965
"9" 2 "standing" 0.27252874 -0.020954013 -0.11447249 -0.99678413 -0.97590627 -0.98659699 0.92555526 -0.31573741 0.12642607 -0.99514632 -0.98097747 -0.98127764 0.079175213 0.025020978 0.0020811765 -0.99554308 -0.99025204 -0.99328658 -0.024364328 -0.066695221 0.077032498 -0.99678549 -0.99530106 -0.99298656 -0.097698066 -0.037798123 -0.06105549 -0.99447485 -0.99720446 -0.99728901 -0.98844633 -0.9916242 -0.98844633 -0.9916242 -0.99389244 -0.99733962 -0.99373292 -0.99531712 -0.99734041 -0.99752463 -0.99647166 -0.9800731 -0.99040235 -0.99685732 -0.97423105 -0.98439586 -0.99622392 -0.99009836 -0.9929513 -0.99509637 -0.99115471 -0.99199541 -0.99480877 -0.99573837 -0.99304645 -0.99749001 -0.99496121 -0.99347137 -0.99355556 -0.9906142 -0.99740725 -0.99584704 -0.99587319 -0.99551314 -0.9973984 -0.99751892
"10" 2 "standing" 0.2757457 -0.010371994 -0.09977589 -0.99837313 -0.98693291 -0.9910219 0.92417336 -0.3175966 0.1245839 -0.99800172 -0.98939331 -0.99196835 0.077145726 0.018711721 0.011466155 -0.99636877 -0.99148028 -0.99279344 -0.022462359 -0.068363863 0.076694399 -0.99639305 -0.99343897 -0.99089631 -0.10162951 -0.041681809 -0.049140975 -0.99556353 -0.99590663 -0.99443854 -0.99135299 -0.99320918 -0.99135299 -0.99320918 -0.99393494 -0.99870789 -0.99146645 -0.99580913 -0.99612756 -0.99741842 -0.99731998 -0.98683408 -0.99128545 -0.99900639 -0.98669452 -0.99064255 -0.99590468 -0.9907058 -0.99201704 -0.9973335 -0.99321584 -0.99198951 -0.99435441 -0.99381065 -0.98994957 -0.9970974 -0.99315328 -0.99197583 -0.99369338 -0.99294329 -0.99834875 -0.99807267 -0.99589683 -0.99632481 -0.9973455 -0.99730116
"11" 2 "standing" 0.27859589 -0.015231928 -0.098908415 -0.99878507 -0.98194306 -0.99137882 0.92371888 -0.31398567 0.12787786 -0.99896777 -0.98598299 -0.98116601 0.073410891 0.0048205158 0.0055513158 -0.99667303 -0.98624441 -0.99071275 -0.025346783 -0.074217186 0.087760115 -0.99446328 -0.99282756 -0.99050543 -0.09760717 -0.043922229 -0.049796101 -0.99430186 -0.99498126 -0.99363215 -0.99200078 -0.99367767 -0.99200078 -0.99367767 -0.99248401 -0.99338931 -0.99262929 -0.99443845 -0.99501892 -0.99693534 -0.99826331 -0.98394109 -0.99048651 -0.99906652 -0.98092551 -0.99180335 -0.99670546 -0.98626158 -0.98849434 -0.99691631 -0.98719871 -0.9915971 -0.99303641 -0.99298218 -0.98963531 -0.99485695 -0.99268503 -0.99158402 -0.99370298 -0.99370311 -0.99227779 -0.9939467 -0.99416628 -0.99552528 -0.99650487 -0.99749031
"12" 2 "standing" 0.27915178 -0.021879444 -0.10973077 -0.99778103 -0.99295121 -0.98568028 0.92403746 -0.31295562 0.1314731 -0.99837133 -0.99227971 -0.99206883 0.073495012 0.01105182 -0.01853629 -0.99404984 -0.98465144 -0.98674551 -0.029174831 -0.079426371 0.092674028 -0.99579842 -0.99382668 -0.99431145 -0.095793768 -0.038043778 -0.056942414 -0.99350021 -0.99529245 -0.99551391 -0.99317478 -0.99518342 -0.99317478 -0.99518342 -0.98917652 -0.99115044 -0.99425402 -0.9951991 -0.9954186 -0.99696993 -0.99635482 -0.98981458 -0.98430519 -0.99864331 -0.99431655 -0.98689355 -0.9938092 -0.98572742 -0.98549705 -0.99489149 -0.98435234 -0.9863919 -0.99346021 -0.99362734 -0.99400498 -0.99660277 -0.9939159 -0.99484074 -0.99400006 -0.99601109 -0.98988419 -0.99192121 -0.99495697 -0.99613329 -0.99659475 -0.997454
